Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 43964,8642.0,,,3173.0,0.0,75.0,25320.0,43964
ZCTA5 28216,51116.0,,,20406.0,742.0,1499.0,30701.0,28216
ZCTA5 28277,71605.0,,,28558.0,326.0,4072.0,54326.0,28277
ZCTA5 28278,27286.0,,,11700.0,36.0,1282.0,40769.0,28278
ZCTA5 28303,29414.0,,,11272.0,131.0,512.0,26706.0,28303
ZCTA5 28314,58110.0,,,23523.0,71.0,728.0,30044.0,28314
ZCTA5 28330,444.0,,,240.0,0.0,0.0,14894.0,28330
ZCTA5 28347,2329.0,,,485.0,20.0,17.0,20522.0,28347
ZCTA5 28351,4698.0,,,1530.0,0.0,11.0,22462.0,28351
ZCTA5 28357,2682.0,,,888.0,0.0,63.0,17941.0,28357
ZCTA5 28369,2865.0,,,908.0,0.0,19.0,22153.0,28369
ZCTA5 28371,7249.0,,,2491.0,0.0,107.0,24065.0,28371
ZCTA5 28392,1628.0,,,533.0,0.0,18.0,16037.0,28392
ZCTA5 28428,6533.0,,,2519.0,0.0,348.0,39138.0,28428
ZCTA5 28433,5375.0,,,1451.0,3.0,0.0,16486.0,28433
ZCTA5 28435,2058.0,,,903.0,0.0,3.0,21543.0,28435
ZCTA5 28450,2596.0,,,766.0,9.0,22.0,29856.0,28450
ZCTA5 28461,19897.0,,,5688.0,0.0,762.0,31341.0,28461
ZCTA5 28462,12659.0,,,3809.0,0.0,118.0,22041.0,28462
ZCTA5 28537,146.0,,,14.0,0.0,1.0,16750.0,28537
ZCTA5 28547,25420.0,,,6940.0,211.0,2227.0,24847.0,28547
ZCTA5 28552,146.0,,,70.0,0.0,0.0,-666666666.0,28552
ZCTA5 28557,15204.0,,,5768.0,19.0,360.0,29923.0,28557
ZCTA5 28560,27590.0,,,9154.0,0.0,329.0,25949.0,28560
ZCTA5 28562,38598.0,,,14545.0,1.0,574.0,31561.0,28562
ZCTA5 28570,21590.0,,,7887.0,76.0,358.0,26596.0,28570
ZCTA5 28574,18116.0,,,5966.0,0.0,310.0,25093.0,28574
ZCTA5 28579,554.0,,,229.0,0.0,12.0,27083.0,28579
ZCTA5 28373,2602.0,,,1064.0,0.0,48.0,28982.0,28373
ZCTA5 28364,15183.0,,,4395.0,19.0,92.0,20602.0,28364
ZCTA5 28366,5564.0,,,1632.0,0.0,57.0,19485.0,28366
ZCTA5 28377,12933.0,,,3505.0,0.0,65.0,16929.0,28377
ZCTA5 28383,8854.0,,,2554.0,24.0,53.0,18503.0,28383
ZCTA5 28386,5997.0,,,1594.0,0.0,16.0,17425.0,28386
ZCTA5 28398,7765.0,,,2476.0,13.0,59.0,20273.0,28398
ZCTA5 28425,11634.0,,,3237.0,0.0,174.0,22821.0,28425
ZCTA5 28429,7525.0,,,2744.0,20.0,126.0,21736.0,28429
ZCTA5 28464,2707.0,,,748.0,0.0,1.0,13770.0,28464
ZCTA5 28073,5366.0,,,1890.0,40.0,21.0,23263.0,28073
