Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Zipcode
ZCTA5 43964,8642,,,3173,0,75,43964
ZCTA5 28216,51116,,,20406,742,1499,28216
ZCTA5 28277,71605,,,28558,326,4072,28277
ZCTA5 28278,27286,,,11700,36,1282,28278
ZCTA5 28303,29414,,,11272,131,512,28303
ZCTA5 28314,58110,,,23523,71,728,28314
ZCTA5 28330,444,,,240,0,0,28330
ZCTA5 28347,2329,,,485,20,17,28347
ZCTA5 28351,4698,,,1530,0,11,28351
ZCTA5 28357,2682,,,888,0,63,28357
ZCTA5 28369,2865,,,908,0,19,28369
ZCTA5 28371,7249,,,2491,0,107,28371
ZCTA5 28392,1628,,,533,0,18,28392
ZCTA5 28428,6533,,,2519,0,348,28428
ZCTA5 28433,5375,,,1451,3,0,28433
ZCTA5 28435,2058,,,903,0,3,28435
ZCTA5 28450,2596,,,766,9,22,28450
ZCTA5 28461,19897,,,5688,0,762,28461
ZCTA5 28462,12659,,,3809,0,118,28462
ZCTA5 28537,146,,,14,0,1,28537
ZCTA5 28547,25420,,,6940,211,2227,28547
ZCTA5 28552,146,,,70,0,0,28552
ZCTA5 28557,15204,,,5768,19,360,28557
ZCTA5 28560,27590,,,9154,0,329,28560
ZCTA5 28562,38598,,,14545,1,574,28562
ZCTA5 28570,21590,,,7887,76,358,28570
ZCTA5 28574,18116,,,5966,0,310,28574
ZCTA5 28579,554,,,229,0,12,28579
ZCTA5 28373,2602,,,1064,0,48,28373
ZCTA5 28364,15183,,,4395,19,92,28364
ZCTA5 28366,5564,,,1632,0,57,28366
ZCTA5 28377,12933,,,3505,0,65,28377
ZCTA5 28383,8854,,,2554,24,53,28383
ZCTA5 28386,5997,,,1594,0,16,28386
ZCTA5 28398,7765,,,2476,13,59,28398
ZCTA5 28425,11634,,,3237,0,174,28425
ZCTA5 28429,7525,,,2744,20,126,28429
ZCTA5 28464,2707,,,748,0,1,28464
ZCTA5 28073,5366,,,1890,40,21,28073
ZCTA5 28098,3629,,,1307,0,45,28098
ZCTA5 28119,2453,,,753,0,0,28119
ZCTA5 28144,25158,,,8066,42,256,28144
ZCTA5 28150,27581,,,9186,2,208,28150
ZCTA5 28168,10056,,,3553,0,150,28168
ZCTA5 28173,56910,,,20940,61,3263,28173
ZCTA5 28205,48539,,,20124,1675,1351,28205
ZCTA5 28214,41356,,,16931,200,987,28214
ZCTA5 28307,17830,,,6123,10,356,28307
ZCTA5 28315,13700,,,4865,0,230,28315
ZCTA5 28318,4371,,,1881,14,66,28318
ZCTA5 28320,9919,,,3222,0,49,28320
ZCTA5 28333,11075,,,3131,0,80,28333
ZCTA5 28730,9248,,,3698,0,549,28730
ZCTA5 28544,6692,,,2593,0,57,28544
ZCTA5 28470,12089,,,3959,0,120,28470
ZCTA5 28524,304,,,99,0,0,28524
ZCTA5 28530,6457,,,2050,10,38,28530
ZCTA5 28556,1019,,,283,0,20,28556
ZCTA5 28573,2053,,,574,0,78,28573
ZCTA5 28621,10499,,,3988,31,211,28621
ZCTA5 28631,818,,,236,0,0,28631
ZCTA5 28644,1117,,,280,0,74,28644
ZCTA5 28675,7033,,,2315,0,127,28675
ZCTA5 28684,2370,,,849,0,141,28684
ZCTA5 28405,32330,,,12938,22,1394,28405
ZCTA5 28442,1584,,,548,0,0,28442
ZCTA5 28444,1962,,,708,0,3,28444
ZCTA5 28466,9294,,,2720,0,160,28466
ZCTA5 28718,363,,,79,0,0,28718
ZCTA5 28722,6477,,,2156,16,149,28722
ZCTA5 28077,464,,,136,0,0,28077
ZCTA5 28097,6074,,,2449,0,179,28097
ZCTA5 28103,11397,,,4623,0,183,28103
ZCTA5 28105,45786,,,18583,363,1809,28105
ZCTA5 28110,53520,,,21203,73,836,28110
ZCTA5 28124,6192,,,2525,0,145,28124
ZCTA5 28127,7860,,,2883,0,65,28127
ZCTA5 28137,3248,,,1175,0,86,28137
ZCTA5 28139,20900,,,7127,0,306,28139
ZCTA5 28212,45694,,,15186,1149,810,28212
ZCTA5 28217,29410,,,10197,837,324,28217
ZCTA5 28227,55769,,,22517,422,1680,28227
ZCTA5 29440,27897,,,8889,101,196,29440
ZCTA5 29450,3548,,,1546,0,27,29450
ZCTA5 29452,484,,,119,0,0,29452
ZCTA5 29456,30609,,,12777,17,445,29456
ZCTA5 29477,6966,,,2006,0,61,29477
ZCTA5 29525,2242,,,556,5,25,29525
ZCTA5 29340,21046,,,6611,24,129,29340
ZCTA5 29353,4199,,,1764,0,22,29353
ZCTA5 29364,578,,,126,0,16,29364
