date,county,state,fips,cases_x,deaths,cases_y,rate,Population,Latitude,Longitude
9/8/2020,Tehama,California,6103.0,453,1,4,112.25,144905,40.0271015,-122.12332279999998
9/8/2020,Bingham,Idaho,16011.0,676,9,7,95.57142857142857,121264,43.2112303,-112.3624146
9/8/2020,Stone,Missouri,29209.0,316,2,4,78.0,121684,36.77488820000001,-93.45993259999999
9/8/2020,Sebastian,Arkansas,5131.0,3042,38,40,75.05,142299,35.22603970000001,-94.315422
9/8/2020,Portage,Wisconsin,55097.0,798,2,11,71.54545454545455,143879,43.539148600000004,-89.4626202
9/8/2020,Nueces,Texas,48355.0,19389,381,275,69.50545454545454,405586,27.769335100000003,-97.48141629999999
9/8/2020,McLennan,Texas,48309.0,6813,89,118,56.73728813559322,260864,31.518228499999996,-97.17902600000001
9/8/2020,Newton,Missouri,29145.0,1133,13,20,55.65,128929,36.9618494,-94.315422
9/8/2020,Bay,Florida,12005.0,5534,86,98,55.46938775510204,222448,30.180530600000004,-85.684578
9/8/2020,Jasper,Missouri,29097.0,1795,16,32,55.09375,142309,37.336164200000006,-94.30133599999999
9/8/2020,Butte,California,6007.0,2463,28,44,54.97727272727273,261161,39.62539520000001,-121.5370003
9/8/2020,Hot Spring,Arkansas,5059.0,1750,23,32,53.6875,139173,34.50370039999999,-93.05517950000001
9/8/2020,Carter,Tennessee,47019.0,1000,25,19,51.63157894736842,133362,36.2638604,-82.12784
9/8/2020,Hidalgo,Texas,48215.0,28833,1311,575,49.14434782608696,866917,26.1003547,-98.2630684
9/8/2020,Tom Green,Texas,48451.0,3355,58,69,47.6231884057971,118781,31.3839017,-100.439656
9/8/2020,Roane,Tennessee,47145.0,696,2,16,42.5,143046,35.836117,-84.56414699999999
9/8/2020,Bonneville,Idaho,16019.0,2031,12,47,42.212765957446805,145239,43.450868299999996,-111.54552890000001
9/8/2020,Bulloch,Georgia,13031.0,2472,22,60,40.2,112545,32.3595678,-81.77870209999999
9/8/2020,Christian,Missouri,29043.0,936,4,23,39.69565217391305,154462,36.997644,-93.1779659
9/8/2020,Johnston,Oklahoma,40069.0,120,2,3,39.0,108293,34.2855117,-96.62106109999999
9/8/2020,Moore,Tennessee,47127.0,118,1,3,38.333333333333336,110844,35.2700506,-86.357952
9/8/2020,St. Francois,Missouri,29187.0,1357,5,35,37.77142857142857,138115,37.7652755,-90.4879916
9/8/2020,Madera,California,6039.0,4025,58,106,36.971698113207545,247134,36.961335600000005,-120.0607176
9/8/2020,Vermilion,Louisiana,22113.0,1916,50,53,35.15094339622642,172249,29.8601413,-92.38136209999999
9/8/2020,Marion,Florida,12083.0,8881,225,248,34.810483870967744,426666,29.278776500000003,-82.12784
9/8/2020,Yuba,California,6115.0,1031,8,30,33.36666666666667,107473,39.1404477,-121.6169108
9/8/2020,Kootenai,Idaho,16055.0,2286,31,68,32.61764705882353,164328,48.3102037,-116.5135257
9/8/2020,Sutter,California,6101.0,1526,10,46,32.17391304347826,119839,39.1598915,-121.75274820000001
9/8/2020,Jefferson,Tennessee,47089.0,923,9,28,31.964285714285715,146273,36.041782500000004,-83.46435509999999
9/8/2020,Comal,Texas,48091.0,3071,111,94,31.670212765957448,379189,29.810557199999998,-98.22129790000001
9/8/2020,Pontotoc,Mississippi,28115.0,1131,13,35,31.314285714285713,160832,34.2478831,-88.998673
9/8/2020,Sullivan,Tennessee,47163.0,1875,27,60,30.25,235756,36.493314700000006,-82.345189
9/8/2020,Laurel,Kentucky,21125.0,626,5,21,28.80952380952381,127670,37.0693489,-84.1857115
9/8/2020,Hood,Texas,48221.0,802,24,27,28.703703703703702,119772,32.429629600000005,-97.8286368
9/8/2020,Merced,California,6047.0,8415,123,285,28.526315789473685,364237,37.3021632,-120.48296770000002
9/8/2020,Sevier,Tennessee,47155.0,2329,13,81,27.753086419753085,181498,35.8271682,-83.5070203
9/8/2020,Cameron,Texas,48061.0,21802,819,764,27.536649214659686,460450,30.853245399999995,-96.9769304
9/8/2020,Greene,Missouri,29077.0,4255,39,151,27.178807947019866,354979,37.3311215,-93.5003454
9/8/2020,Ector,Texas,48135.0,4382,76,160,26.3875,201622,33.5773281,-96.2733145
9/8/2020,La Crosse,Wisconsin,55063.0,1401,2,53,25.433962264150942,150015,43.8137751,-91.2519017
9/8/2020,Midland,Texas,48329.0,3409,74,129,25.426356589147286,225159,31.9973456,-102.0779146
9/8/2020,Douglas,Kansas,20045.0,1739,9,66,25.348484848484848,134348,37.5194642,-97.01281469999999
9/8/2020,Carroll,Tennessee,47017.0,698,10,27,24.85185185185185,110652,35.9917193,-88.4016041
9/8/2020,Story,Iowa,19169.0,2966,16,116,24.56896551724138,111218,42.1040438,-93.5003454
9/8/2020,Cochise,Arizona,4003.0,1848,64,74,23.972972972972972,130462,32.1139688,-109.92117560000001
9/8/2020,Canyon,Idaho,16027.0,7528,85,303,23.844884488448844,252944,43.6779581,-116.6865435
9/8/2020,Washington,Tennessee,47179.0,1863,14,75,23.84,183081,36.3321016,-82.51858370000001
9/8/2020,Scioto,Ohio,39145.0,397,4,16,23.8125,143423,38.861065,-82.9931607
9/8/2020,Victoria,Texas,48469.0,3882,84,160,23.2625,120653,28.805267399999998,-97.00359820000001
9/8/2020,Hernando,Florida,12053.0,2785,99,115,23.217391304347824,202914,28.8999815,-82.37454009999999
9/8/2020,Anderson,Tennessee,47001.0,957,9,40,22.925,156814,36.080957399999996,-84.2278796
9/8/2020,Blount,Tennessee,47009.0,2152,17,91,22.64835164835165,202212,35.6710541,-83.8473015
9/8/2020,Charleston,South Carolina,45019.0,14509,249,617,22.515397082658023,605279,32.776474900000004,-79.9310512
9/8/2020,Boone,Missouri,29019.0,3568,7,152,22.473684210526315,181219,39.046854700000004,-92.38136209999999
9/8/2020,Yellowstone,Montana,30111.0,2310,49,99,22.333333333333332,162374,44.662149299999996,-111.1041092
9/8/2020,Kerr,Texas,48265.0,440,9,19,22.157894736842106,106593,30.094530499999998,-99.45615500000001
9/8/2020,Cherokee,South Carolina,45021.0,903,33,39,22.153846153846153,112213,35.0120404,-81.6035062
9/8/2020,Laurens,South Carolina,45059.0,1538,54,67,21.955223880597014,174599,34.4990116,-82.01425970000001
9/8/2020,Lake,Florida,12069.0,6841,128,301,21.727574750830566,513708,28.673691499999997,-81.3636586
9/8/2020,Madison,Kentucky,21151.0,1245,4,55,21.636363636363637,110490,37.714300099999996,-84.31212640000001
9/8/2020,Dorchester,South Carolina,45035.0,3743,84,166,21.548192771084338,291028,33.168038300000006,-80.54384499999999
9/8/2020,Indian River,Florida,12061.0,2921,104,130,21.46923076923077,151001,28.214206800000003,-80.6431877
9/8/2020,Blount,Alabama,1009.0,1390,12,62,21.419354838709676,157623,34.0145152,-86.4996546
9/8/2020,Horry,South Carolina,45051.0,9619,189,432,21.266203703703702,332641,33.919656700000004,-78.92882420000001
9/8/2020,Webb,Texas,48479.0,12144,259,546,21.24175824175824,271915,27.7925109,-99.4228149
9/8/2020,Parker,Texas,48367.0,1689,27,76,21.223684210526315,272370,33.0553975,-96.6219376
9/8/2020,Watauga,North Carolina,37189.0,498,0,23,20.652173913043477,108178,36.194182500000004,-81.734942
9/8/2020,Pasco,Florida,12101.0,8357,184,386,20.650259067357513,657116,28.3232418,-82.4319405
9/8/2020,Honolulu,Hawaii,15003.0,9058,75,421,20.51543942992874,987638,21.3069444,-157.8583333
9/8/2020,Maury,Tennessee,47119.0,1900,18,89,20.348314606741575,143906,35.6195242,-87.1422895
9/8/2020,Hawkins,Tennessee,47073.0,704,13,33,20.333333333333332,119833,36.444554499999995,-82.95015579999999
9/8/2020,Berkeley,South Carolina,45015.0,4965,84,233,20.30901287553648,359016,33.1260618,-80.0087746
9/8/2020,Bradley,Tennessee,47011.0,2595,16,122,20.270491803278688,111384,35.1937778,-84.8567932
9/8/2020,Stanislaus,California,6099.0,15635,295,744,20.01478494623656,613456,37.5090711,-120.9876321
9/8/2020,Caldwell,Texas,48055.0,1358,34,65,19.892307692307693,217886,30.5313152,-96.69303029999999
9/8/2020,San Joaquin,California,6077.0,18552,377,888,19.89189189189189,824379,37.9175935,-121.1710389
9/8/2020,Overton,Tennessee,47133.0,537,2,26,19.653846153846153,100678,36.388034600000005,-85.31362179999999
9/8/2020,Madison,Alabama,1089.0,6911,64,339,19.386430678466077,382031,34.6992579,-86.7483318
9/8/2020,Santa Rosa,Florida,12113.0,4958,59,245,19.23673469387755,194171,30.396032399999996,-86.2288322
9/8/2020,Beaufort,North Carolina,37013.0,685,10,34,19.147058823529413,131531,34.7182174,-76.6638186
9/8/2020,Liberty,Texas,48291.0,1896,46,95,18.957894736842107,141626,30.057993,-94.7954783
9/8/2020,Okaloosa,Florida,12091.0,4427,89,222,18.94144144144144,203462,30.5773401,-86.6611083
9/8/2020,Campbell,Virginia,51031.0,355,3,18,18.72222222222222,157309,37.221014000000004,-79.1096901
