Area Name,Date,Daily Cases,Mobility % change
"Alexander, North Carolina",3/7/2020,,0.54
"Alexander, North Carolina",3/8/2020,,-0.03
"Alexander, North Carolina",3/9/2020,,0.19
"Alexander, North Carolina",3/10/2020,,0.22
"Alexander, North Carolina",3/11/2020,,0.15
"Alexander, North Carolina",3/12/2020,,0.18
"Alexander, North Carolina",3/13/2020,,0.33
"Alexander, North Carolina",3/14/2020,,0.2
"Alexander, North Carolina",3/15/2020,,-0.19
"Alexander, North Carolina",3/16/2020,,0.02
"Alexander, North Carolina",3/17/2020,,-0.01
"Alexander, North Carolina",3/18/2020,,-0.03
"Alexander, North Carolina",3/19/2020,,0.04
"Alexander, North Carolina",3/20/2020,,0.15
"Alexander, North Carolina",3/21/2020,,-0.01
"Alexander, North Carolina",3/22/2020,,-0.3
"Alexander, North Carolina",3/23/2020,,-0.2
"Alexander, North Carolina",3/24/2020,,-0.12
"Alexander, North Carolina",3/25/2020,,-0.08
"Alexander, North Carolina",3/26/2020,,-0.11
"Alexander, North Carolina",3/27/2020,,0.19
"Alexander, North Carolina",3/28/2020,,0
"Alexander, North Carolina",3/29/2020,,-0.23
"Alexander, North Carolina",3/30/2020,1,-0.11
"Alexander, North Carolina",3/31/2020,1,-0.25
"Alexander, North Carolina",4/1/2020,0,-0.17
"Alexander, North Carolina",4/2/2020,0,-0.18
"Alexander, North Carolina",4/3/2020,0,-0.07
"Alexander, North Carolina",4/4/2020,0,-0.19
"Alexander, North Carolina",4/5/2020,0,-0.28
"Alexander, North Carolina",4/6/2020,0,-0.09
"Alexander, North Carolina",4/7/2020,0,-0.09
"Alexander, North Carolina",4/8/2020,0,-0.08
"Alexander, North Carolina",4/9/2020,0,0.05
"Alexander, North Carolina",4/10/2020,0,0.01
"Alexander, North Carolina",4/11/2020,0,-0.13
"Alexander, North Carolina",4/12/2020,0,-0.51
"Alexander, North Carolina",4/13/2020,0,0.04
"Alexander, North Carolina",4/14/2020,1,-0.04
"Alexander, North Carolina",4/15/2020,0,0.06
"Alexander, North Carolina",4/16/2020,0,0.08
"Alexander, North Carolina",4/17/2020,0,0.31
"Alexander, North Carolina",4/18/2020,0,0.14
"Alexander, North Carolina",4/19/2020,0,-0.21
"Alexander, North Carolina",4/20/2020,0,0.05
"Alexander, North Carolina",4/21/2020,0,0.07
"Alexander, North Carolina",4/22/2020,0,0.19
"Alexander, North Carolina",4/23/2020,1,-0.07
"Alexander, North Carolina",4/24/2020,0,0.26
"Alexander, North Carolina",4/25/2020,0,0.09
"Alexander, North Carolina",4/26/2020,0,-0.12
"Alexander, North Carolina",4/27/2020,0,0.14
"Alexander, North Carolina",4/28/2020,0,0.25
"Alexander, North Carolina",4/29/2020,0,0.1
"Alexander, North Carolina",4/30/2020,0,0.2
"Alexander, North Carolina",5/1/2020,0,0.48
"Alexander, North Carolina",5/2/2020,0,0.36
"Alexander, North Carolina",5/3/2020,0,0.22
"Alexander, North Carolina",5/4/2020,0,0.32
"Alexander, North Carolina",5/5/2020,1,0.07
"Alexander, North Carolina",5/6/2020,1,0.21
"Alexander, North Carolina",5/7/2020,2,0.38
"Alexander, North Carolina",5/8/2020,0,0.47
"Alexander, North Carolina",5/9/2020,2,0.47
"Alexander, North Carolina",5/10/2020,2,0.09
"Alexander, North Carolina",5/11/2020,0,
"Alexander, North Carolina",5/12/2020,1,
"Alexander, North Carolina",5/13/2020,1,0.34
"Alexander, North Carolina",5/14/2020,1,0.43
"Alexander, North Carolina",5/15/2020,0,0.55
"Alexander, North Carolina",5/16/2020,3,0.74
"Alexander, North Carolina",5/17/2020,3,0.22
"Alexander, North Carolina",5/18/2020,0,0.38
"Alexander, North Carolina",5/19/2020,0,0.22
"Alexander, North Carolina",5/20/2020,2,0.32
"Alexander, North Carolina",5/21/2020,0,0.43
"Alexander, North Carolina",5/22/2020,0,0.7
"Alexander, North Carolina",5/23/2020,4,0.54
"Alexander, North Carolina",5/24/2020,0,0.22
"Alexander, North Carolina",5/25/2020,0,0.23
"Alexander, North Carolina",5/26/2020,0,0.43
"Alexander, North Carolina",5/27/2020,1,0.33
"Alexander, North Carolina",5/28/2020,2,0.45
"Alexander, North Carolina",5/29/2020,0,0.59
"Alexander, North Carolina",5/30/2020,3,0.75
"Alexander, North Carolina",5/31/2020,0,0.41
"Alexander, North Carolina",6/1/2020,2,0.55
"Alexander, North Carolina",6/2/2020,3,0.61
"Alexander, North Carolina",6/3/2020,0,0.49
"Alexander, North Carolina",6/4/2020,0,0.53
"Alexander, North Carolina",6/5/2020,0,0.77
"Alexander, North Carolina",6/6/2020,5,0.78
"Alexander, North Carolina",6/7/2020,0,0.4
"Alexander, North Carolina",6/8/2020,0,0.59
"Alexander, North Carolina",6/9/2020,0,0.57
"Alexander, North Carolina",6/10/2020,0,0.55
"Alexander, North Carolina",6/11/2020,0,0.7
"Alexander, North Carolina",6/12/2020,3,0.88
"Alexander, North Carolina",6/13/2020,2,0.76
"Alexander, North Carolina",6/14/2020,1,0.4
"Alexander, North Carolina",6/15/2020,1,0.47
"Alexander, North Carolina",6/16/2020,0,0.45
"Alexander, North Carolina",6/17/2020,1,0.45
"Alexander, North Carolina",6/18/2020,5,0.52
"Alexander, North Carolina",6/19/2020,3,0.72
"Alexander, North Carolina",6/20/2020,1,0.81
"Alexander, North Carolina",6/21/2020,5,0.4
"Alexander, North Carolina",6/22/2020,1,0.7
"Alexander, North Carolina",6/23/2020,2,0.65
"Alexander, North Carolina",6/24/2020,5,0.64
"Alexander, North Carolina",6/25/2020,3,0.76
"Alexander, North Carolina",6/26/2020,3,0.95
"Alexander, North Carolina",6/27/2020,5,0.71
"Alexander, North Carolina",6/28/2020,0,0.4
"Alexander, North Carolina",6/29/2020,3,0.65
"Alexander, North Carolina",6/30/2020,4,0.5
"Alexander, North Carolina",7/1/2020,2,0.7
"Alexander, North Carolina",7/2/2020,8,0.72
"Alexander, North Carolina",7/3/2020,4,0.81
"Alexander, North Carolina",7/4/2020,7,0.68
"Alexander, North Carolina",7/5/2020,6,0.4
