fips,cases,Latitude,Longitude,Population,Solo Driver Ratio,Public Ratio,WFH Ratio
1073,282,33.4914122,-86.9824288,718104,0.383,0.004,0.016
4013,791,33.0581063,-112.0476423,4386788,0.352,0.009,0.03
6001,334,37.7798721,-122.2821855,1793676,0.292,0.02,0.029
6037,3011,34.0522342,-118.2436849,10495054,0.349,0.023,0.025
6059,502,33.7879139,-117.8531007,3036030,0.384,0.008,0.029
6065,371,33.9806005,-117.3754942,2608660,0.325,0.004,0.021
6067,224,38.5815719,-121.4943996,1469462,0.342,0.007,0.026
6073,734,32.715738,-117.1610838,3248115,0.371,0.012,0.034
6075,400,37.7749295,-122.4194155,919559,0.198,0.124,0.037
6081,309,37.5629917,-122.3255254,734917,0.36,0.014,0.028
6085,890,37.3541079,-121.9552356,1827484,0.375,0.013,0.025
8005,350,39.62031,-104.332644,858470,0.417,0.012,0.04
8031,539,39.7392358,-104.990251,519063,0.391,0.027,0.046
8037,227,39.6552634,-106.8286507,76052,0.435,0.027,0.063
8041,286,38.9108325,-104.4723301,676504,0.38,0.004,0.031
8059,304,39.377255,-105.8005988,204626,0.417,0.013,0.05
8123,255,40.3920718,-104.7158226,200017,0.379,0.002,0.022
9001,1870,41.1408363,-73.2612615,983163,0.36,0.012,0.03
9003,393,41.7658043,-72.6733723,980306,0.399,0.015,0.021
9009,517,41.308274,-72.9278835,792114,0.382,0.015,0.023
11001,495,38.9071923,-77.0368707,683984,0.183,0.073,0.033
12011,1219,26.190096,-80.365865,2043329,0.39,0.012,0.025
12057,305,27.9903597,-82.3017728,1515917,0.379,0.007,0.032
12086,2123,25.5516034,-80.6326916,2581348,0.361,0.02,0.024
12095,373,29.1383165,-80.9956105,1376607,0.392,0.011,0.025
12099,551,26.7056206,-80.0364297,1367448,0.353,0.007,0.029
13067,287,33.8999297,-84.564147,729805,0.408,0.005,0.039
13089,360,33.7956441,-84.2278796,1092184,0.364,0.022,0.033
13095,466,31.5439375,-84.2278796,113479,0.31,0.005,0.018
13121,599,33.8033965,-84.3962535,564560,0.348,0.025,0.041
13135,242,33.9190653,-84.0167423,689273,0.386,0.003,0.028
17031,4496,41.7376587,-87.697554,5671859,0.302,0.035,0.023
17043,356,41.8243831,-88.0900762,916607,0.403,0.002,0.033
17097,389,42.3689363,-87.8271534,719817,0.396,0.003,0.031
17197,228,41.5054724,-88.0900762,239867,0.416,0.003,0.017
18097,965,40.5583739,-85.6591442,692191,0.378,0.011,0.013
22017,242,32.6136798,-93.8655303,124372,0.345,0.009,0.01
22033,228,30.5693593,-91.09694,474676,0.395,0.006,0.012
22051,1193,29.9660371,-90.1531298,494962,0.382,0.008,0.017
22071,1834,29.9510658,-90.0715323,331352,0.302,0.031,0.022
24005,227,39.2903848,-76.6121893,1212213,0.376,0.022,0.02
24031,388,39.1547426,-77.2405153,1098439,0.342,0.029,0.03
24033,341,38.7849211,-76.8720961,794297,0.351,0.025,0.016
25005,306,41.7938406,-71.1448516,616073,0.406,0.005,0.018
25009,784,42.6319582,-70.7829315,869910,0.382,0.01,0.029
25013,354,42.0639841,-72.4134167,491319,0.377,0.008,0.017
25017,1340,42.467206,-71.2874209,1660246,0.354,0.02,0.031
25021,738,42.1195426,-71.3250563,918794,0.333,0.022,0.027
25023,459,41.9584457,-70.6672621,332465,0.412,0.006,0.021
25025,1373,42.3522866,-71.0504229,528091,0.205,0.074,0.016
25027,433,42.2625932,-71.8022934,760372,0.4,0.004,0.025
26099,853,42.6651965,-82.9286428,955272,0.414,0.003,0.014
26125,1620,42.5921924,-83.336188,1170790,0.424,0.003,0.022
26161,311,42.3076493,-83.8473015,351695,0.359,0.027,0.03
26163,3735,42.2814269,-83.3863214,1545262,0.322,0.012,0.013
29189,492,38.6270025,-90.1994042,959165,0.403,0.011,0.025
32003,869,36.0795613,-115.094045,2141662,0.364,0.017,0.018
34003,2909,40.9262762,-74.07701,1122493,0.331,0.059,0.021
34007,228,39.9259463,-75.1196199,492852,0.374,0.013,0.018
34013,1900,40.7947466,-74.2648829,902250,0.291,0.053,0.018
34017,1606,40.7453199,-74.0535126,565138,0.175,0.106,0.017
34021,268,40.3028533,-74.7337069,338956,0.334,0.012,0.026
34023,1277,40.572603,-74.4926541,975903,0.354,0.022,0.021
34025,1140,40.2589455,-74.123996,613515,0.382,0.017,0.027
34027,841,40.8336038,-74.5463282,567747,0.41,0.01,0.031
34029,1022,40.2479729,-74.029843,468351,0.332,0.005,0.021
34031,1294,40.8567662,-74.1284764,403563,0.348,0.032,0.016
34035,413,40.497604,-74.4884868,309587,0.39,0.012,0.026
34039,1418,40.6975898,-74.2631635,328783,0.328,0.026,0.019
36001,226,42.6525793,-73.7562317,457438,0.395,0.024,0.018
